"Song"|"Artists"|"Year"|"ArtistRank"|"SongsId"|"ArtistsId"|"albumID"
"Shape Of You"|"Ed Sheeran"|0|101|"7qiZfU4dY1lWllzX7mPBI3"|"6eUKZXaKkcviH0Ku9w2n3V"|"3T4tUhGYeRNVUGevb0wThu"
"Despacito"|"Luis Fonsi & Daddy Yankee"|0|101|"6rPO02ozF3bM7NnOV4h6s2"|"4V8Sr092TqfHkfAA5fXXqG,4VMYDCV2IEDYJArk749S6m,1uNFoZAHBGtllmzznpCI3s"|"3Gq2Dme9nesdgoqNNlcN8O"
"Perfect"|"Ed Sheeran"|0|101|"0tgVpDi06FyKpA1z0VMD4v"|"6eUKZXaKkcviH0Ku9w2n3V"|"3T4tUhGYeRNVUGevb0wThu"
"Old Town Road"|"Lil Nas X & Billy Ray Cyrus"|0|101|"501HQ7cfLQzN9OLwWHBYLr"|"21VBNkZvKxrI9zmfFRxXvn"|"2igEKAhUe9qhzmNpFcdGyA"
"Bad Guy"|"Billie Eilish"|0|101|"2Fxmhks0bxGSBdJ92vM42m"|"6qqNVTkY8uBg9cP3Jd7DAH"|"0S0KGZnfBGSIssfF54WSJh"
"Uptown Funk"|"Mark Ronson & Bruno Mars"|0|101|"3KotKQiUGfqfZiMLirjOXU"|"5RLEevluODNXyRkSZtbQyp"|"7av8kqW3kMZuBRmBhKcG68"
"Happy"|"Pharrell Williams"|0|101|"60nZcImufyMA1MKQY3dcCH"|"2RdwBSPQiwcmiDo9kixcl8"|"0lrmy4pJINsFzycJvttX2W"
"Havana"|"Camila Cabello & Young Thug"|0|101|"1NFhNjb7SAryYhFxSAzc9M"|"2QQVBYuFqkbV1je2L9aV1Z"|"4Gopg00abyHjg8IBPlw6I4"
"Girls Like You"|"Maroon 5 & Cardi B"|0|101|"2IGamyIQRBaelLlvkS2mMi"|"04T7QEqAiQBW12loi1g2CO"|"5pxeq4EsIoRRh9wwnS7JTW"
"Rolling In The Deep"|"Adele"|0|101|"1CkvWZme3pRgbzaxZnTl5X"|"4dpARuHxo51G3z768sgnrY"|"1azUkThwd2HfUDdeNeT147"
"Sunflower "|"Post Malone & Swae Lee"|0|101|"3KkXRkHbMCARz0aVfEt68P"|"246dkjvS1zLTtiykXe5h60,1zNqQNIdeOUZHb8zbZRFMX"|"35s58BRTGAEWztPo9WqCIs"
"Party Rock Anthem"|"LMFAO"|0|101|"0IkKz2J93C94Ei4BvDop7P"|"3sgFRtyBnxXD5ESfmbK4dl,2jLE4BoXHriQ96JagEtiDP,53sIBaVjXQhfH89Vu6nEGh"|"1MbBSfcqLg2OjkeZ1RMSIq"
"Cheap Thrills"|"Sia"|0|101|"3S4px9f4lceWdKf0gWciFu"|"5WUlDfRSoLAfcVSX1WnrxN"|"2eV6DIPDnGl1idcjww6xyX"
"Someone You Loved"|"Lewis Capaldi"|0|101|"7qEHsqek33rTcFNT9PFqLf"|"4GNC7GD6oZMSxPGyXy4MNB"|"5658aM19fA3JVwTK6eQX70"
"Closer"|"The Chainsmokers & Halsey"|0|101|"7Cgt4ni0JatxDNsWquErpn"|"1GLCgaGqre3Uu58IeEMekP"|"6ODrASxMXr31mTByNsdsX8"
"Cant Stop The Feeling"|"Justin Timberlake"|0|101|"1WkMMavIMc4JZ8cfMmxHkI"|"31TPClRtHm23RisEBtV3X7"|"65ayND23IInUPHJKsaAqe7"
