"Hey Jude"|"The Beatles"|1968|1|"0aym2LBJBk9DAYuHHutrIl"|"3WrFJ7ztbogyGnTHbHJFl2"|"7vEJAtP3KgKSpOHVgwm3Eh"
" Satisfaction"|"The Rolling Stones"|1965|3|"2PzU4IB8Dr6mxV3lHuaG34"|"22bE4uQ6baNwSHPVcDxLCe"|"2Q5MwpTmtjscaS34mJFXQQ"
"I Want to Hold Your Hand"|"The Beatles"|1964|1|"4pbG9SUmWIvsROVLF0zF9s"|"3WrFJ7ztbogyGnTHbHJFl2"|"7vEJAtP3KgKSpOHVgwm3Eh"
"A Whiter Shade of Pale"|"Procol Harum"|1967|101|"78ZqE2tjAxbqEGGlvGnQfT"|"0GbqW5TJr7n4is453VOY4C"|"4fVss16qeptLgMiAuZCK1o"
"Oh, Pretty Woman"|"Roy Orbison"|1964|101|"48i055G1OT5KxGGftwFxWy"|"0JDkhL4rjiPNEp92jAgJnS"|"2jTbcSPVTBRAoc3mHU6hy0"
"Are You Lonesome Tonight?"|"Elvis Presley"|1960|2|"6vXZs9rEQF7Nd6O8Ue7NrT"|"43ZHCT0cAZBISjO8DG9PnE"|"5Iec810oL6PorbyBVjLnmD"
"Its Now Or Never"|"Elvis Presley"|1960|2|"1XunTmhOcj3xwh4b8P3isX"|"43ZHCT0cAZBISjO8DG9PnE"|"0QVoYzGd1p8Z3ohEaM0lsc"
"Sugar Sugar"|"Archies"|1969|101|"3iSws76HjaU7k49EqJVTfF"|"33QmoCkSqADuQEtMCysYLh"|"7spOTrIPTM8RrMIAhCjLJi"
"Get Back"|"The Beatles"|1969|1|"4MLBqAEzNN89o2M9h92Z26"|"3WrFJ7ztbogyGnTHbHJFl2"|"0jTGHV5xqHPvEcwL8f6YU5"
"She Loves You"|"The Beatles"|1964|1|"6nEkxYIEnrbYH7h1hJ8Xn6"|"3WrFJ7ztbogyGnTHbHJFl2"|"7vEJAtP3KgKSpOHVgwm3Eh"
"Strangers in the Night"|"Frank Sinatra"|1966|6|"74VR3AkGPhbYXnxcOYa16x"|"1Mxqyy3pSjf8kZZL4QVxS0"|"1kyb5tomEXcA106V57puFW"
"Im a Believer"|"The Monkees"|1967|7|"3G7tRC24Uh09Hmp1KZ7LQ2"|"320EPCSEezHt1rtbfwH6Ck"|"50zHjIiTOZM232gnWvOydX"
"Those Were the Days"|"Mary Hopkin"|1968|101|"6QOg1CWFpLAsIK7I54JX4G"|"5pBljwfwnohfSNDXixEYHm"|"4TrA2bhBgwdyuy3mzzJWmW"
"The Twist"|"Chubby Checker"|1960|101|"3ohLnESFgYACPMCkoTOzqE"|"7qQJQ3YtcGlqaLg5tcypN2"|"4I4NKz4jIy7hYke8jvCpPA"
"Unchained Melody"|"The Righteous Brothers"|1965|101|"1jFhnVoJkcB4lf9tT0rSZS"|"4b0WsB47XCa9F83BmwQ7WX"|"5CFmNamq1ceXn8RFJ9i7p6"
"Help!"|"The Beatles"|1965|1|"7DD7eSuYSC5xk2ArU62esN"|"3WrFJ7ztbogyGnTHbHJFl2"|"0PT5m6hwPRrpBwIHVnvbFX"
"Stand By Me"|"Ben E King"|1961|101|"3SdTKo2uVsxFblQjpScoHy"|"3plJVWt88EqjvtuB4ZDRV3"|"18Fj7coTfyMi7mEPXIweN7"
"All You Need is Love"|"The Beatles"|1967|1|"68BTFws92cRztMS1oQ7Ewj"|"3WrFJ7ztbogyGnTHbHJFl2"|"2BtE7qm1qzM80p9vLSiXkj"
"Yesterday"|"The Beatles"|1965|1|"3BQHpFgAp4l80e1XslIjNI"|"3WrFJ7ztbogyGnTHbHJFl2"|"0PT5m6hwPRrpBwIHVnvbFX"
"These Boots Are Made For Walking"|"Nancy Sinatra"|1966|101|"1tH8ycIrUoZt94f82MrVL5"|"3IZrrNonYELubLPJmqOci2"|"2xPqWOuRbw3VS1CqwlQ2R1"
"Lets Twist Again"|"Chubby Checker"|1961|101|"1INWPr855fwWdAOeecbu0W"|"7qQJQ3YtcGlqaLg5tcypN2"|"4btfmKwgAHFtN7BQUSHta0"
"Theme From A Summer Place"|"Percy Faith"|1960|101|"6zwvB879PJSpTyFcg2wwnL"|"24DQLSng7bKZD4GXLIaQbv"|"0XLV6vIukKpejiSTAaSPPi"
"I Cant Stop Loving You"|"Ray Charles"|1962|9|"79nJj5dMyTsUzKvN5jUXsJ"|"1eYhYunlNJlDoQhtYBvPsi"|"4j4w5DDWMKD7ePStAl19OF"
"Hello, Goodbye"|"The Beatles"|1967|1|"0vZ97gHhemKm6c64hTfJNA"|"3WrFJ7ztbogyGnTHbHJFl2"|"2BtE7qm1qzM80p9vLSiXkj"
"House of the Rising Sun"|"The Animals"|1964|101|"7BY005dacJkbO6EPiOh2wb"|"3ICflSq6ZgYAIrm2CTkfVP"|"0Xwkx2TLFwRcoK0OWQ0Msa"
"I Feel Fine"|"The Beatles"|1964|1|"5hhF25sWnZvXhimOHLjTRE"|"3WrFJ7ztbogyGnTHbHJFl2"|"7vEJAtP3KgKSpOHVgwm3Eh"
"A Hard Days Night"|"The Beatles"|1964|1|"5J2CHimS7dWYMImCHkEFaJ"|"3WrFJ7ztbogyGnTHbHJFl2"|"6wCttLq0ADzkPgtRnUihLV"
"Downtown"|"Petula Clark"|1965|101|"0ZQ6ckgerHYM5mOUxTl99Q"|"6nKqt1nbSBEq3iUXD1Xgz8"|"4pvPAWiVRHdnVXkOt49sKk"
"Suspicious Minds"|"Elvis Presley"|1969|2|"1H5IfYyIIAlgDX8zguUzns"|"43ZHCT0cAZBISjO8DG9PnE"|"3ekkFrfotMsEAKc5g71GHk"
"Honky Tonk Woman"|"The Rolling Stones"|1969|3|"1YzxWhqHJBHJkf3U3dROQP"|"22bE4uQ6baNwSHPVcDxLCe"|"1I4PYVYWsa22ELVcjCszrx"
"Good Vibrations"|"The Beach Boys"|1966|4|"5t9KYe0Fhd5cW6UYT4qP8f"|"3oDbviiivRWhXwIE8hxkVV"|"37rNuexqEXWeSIOiJtn3A9"
"Paperback Writer"|"The Beatles"|1966|1|"0Ui8KPWZbJJQ2Y0CIQuVqX"|"3WrFJ7ztbogyGnTHbHJFl2"|"7vEJAtP3KgKSpOHVgwm3Eh"
"Penny Lane"|"The Beatles"|1967|1|"1h04XMpzGzmAudoI6VHBgA"|"3WrFJ7ztbogyGnTHbHJFl2"|"2BtE7qm1qzM80p9vLSiXkj"
"In the Year 2525 "|"Zager & Evans"|1969|101|"5UVsbUV0Kh033cqsZ5sLQi"|"55IyYO6fmYpYw6Nd4YF7bw"|"48nQg5aRjshznfUlppTBGL"
" Massachusetts"|"Bee Gees"|1967|101|"3o7k5Mcdi0PFAXICTqjxra"|"1LZEQNv7sE11VDY3SdxQeN"|"2oeuTgRudy4dVoFa15gf05"
